agency_cd	site_no	datetime	streamflow	qaqc_flag
USGS	13200000	1975-10-01	46.0	A
USGS	13200000	1975-10-02	45.0	A
USGS	13200000	1975-10-03	45.0	A
USGS	13200000	1975-10-04	45.0	A
USGS	13200000	1975-10-05	45.0	A
USGS	13200000	1975-10-06	47.0	A
USGS	13200000	1975-10-07	85.0	A
USGS	13200000	1975-10-08	92.0	A
USGS	13200000	1975-10-09	74.0	A
USGS	13200000	1975-10-10	70.0	A
USGS	13200000	1975-10-11	80.0	A
USGS	13200000	1975-10-12	100	A
USGS	13200000	1975-10-13	86.0	A
USGS	13200000	1975-10-14	80.0	A
USGS	13200000	1975-10-15	76.0	A
USGS	13200000	1975-10-16	76.0	A
USGS	13200000	1975-10-17	73.0	A
USGS	13200000	1975-10-18	70.0	A
USGS	13200000	1975-10-19	69.0	A
USGS	13200000	1975-10-20	70.0	A
USGS	13200000	1975-10-21	70.0	A
USGS	13200000	1975-10-22	107	A
USGS	13200000	1975-10-23	97.0	A
USGS	13200000	1975-10-24	85.0	A
USGS	13200000	1975-10-25	85.0	A
USGS	13200000	1975-10-26	156	A
USGS	13200000	1975-10-27	154	A
USGS	13200000	1975-10-28	121	A
USGS	13200000	1975-10-29	109	A
USGS	13200000	1975-10-30	110	A
USGS	13200000	1975-10-31	117	A
USGS	13200000	1975-11-01	112	A
USGS	13200000	1975-11-02	107	A
USGS	13200000	1975-11-03	107	A
USGS	13200000	1975-11-04	109	A
USGS	13200000	1975-11-05	105	A
USGS	13200000	1975-11-06	104	A
USGS	13200000	1975-11-07	117	A
USGS	13200000	1975-11-08	117	A
USGS	13200000	1975-11-09	105	A
USGS	13200000	1975-11-10	105	A
USGS	13200000	1975-11-11	97.0	A
USGS	13200000	1975-11-12	88.0	A
USGS	13200000	1975-11-13	92.0	A
USGS	13200000	1975-11-14	104	A
USGS	13200000	1975-11-15	109	A
USGS	13200000	1975-11-16	125	A
USGS	13200000	1975-11-17	117	A
USGS	13200000	1975-11-18	94.0	A
USGS	13200000	1975-11-19	79.0	A
USGS	13200000	1975-11-20	107	A
USGS	13200000	1975-11-21	102	A
USGS	13200000	1975-11-22	89.0	A
USGS	13200000	1975-11-23	107	A
USGS	13200000	1975-11-24	107	A
USGS	13200000	1975-11-25	104	A
USGS	13200000	1975-11-26	92.0	A
USGS	13200000	1975-11-27	107	A
USGS	13200000	1975-11-28	100	A
USGS	13200000	1975-11-29	90.0	A
USGS	13200000	1975-11-30	80.0	A
USGS	13200000	1975-12-01	110	A
USGS	13200000	1975-12-02	207	A
USGS	13200000	1975-12-03	193	A
USGS	13200000	1975-12-04	170	A
USGS	13200000	1975-12-05	222	A
USGS	13200000	1975-12-06	256	A
USGS	13200000	1975-12-07	311	A
USGS	13200000	1975-12-08	356	A
USGS	13200000	1975-12-09	304	A
USGS	13200000	1975-12-10	259	A
USGS	13200000	1975-12-11	228	A
USGS	13200000	1975-12-12	225	A
USGS	13200000	1975-12-13	190	A
USGS	13200000	1975-12-14	131	A
USGS	13200000	1975-12-15	140	A
USGS	13200000	1975-12-16	150	A
USGS	13200000	1975-12-17	125	A
USGS	13200000	1975-12-18	112	A
USGS	13200000	1975-12-19	105	A
USGS	13200000	1975-12-20	100	A
USGS	13200000	1975-12-21	110	A
USGS	13200000	1975-12-22	129	A
USGS	13200000	1975-12-23	151	A
USGS	13200000	1975-12-24	165	A
USGS	13200000	1975-12-25	154	A
USGS	13200000	1975-12-26	145	A
USGS	13200000	1975-12-27	149	A
USGS	13200000	1975-12-28	117	A
USGS	13200000	1975-12-29	137	A
USGS	13200000	1975-12-30	133	A
USGS	13200000	1975-12-31	102	A
USGS	13200000	1976-01-01	65.0	A
USGS	13200000	1976-01-02	73.0	A
USGS	13200000	1976-01-03	112	A
USGS	13200000	1976-01-04	131	A
USGS	13200000	1976-01-05	160	A
USGS	13200000	1976-01-06	145	A
USGS	13200000	1976-01-07	142	A
USGS	13200000	1976-01-08	147	A
